event_id,floor,artist_name,set_time_start,set_time_end
2914,Kantine am Berghain,The Hormones / 荷尔蒙小姐,2019-09-16T20:00:00Z,2019-09-17T04:00:00Z
2915,Panorama Bar,Photay,2019-08-23T03:00:00Z,2019-08-23T04:00:00Z
2915,Panorama Bar,Elias Mazian b2b Job Jobse,2019-08-23T04:00:00Z,2019-08-23T08:00:00Z
2915,Panorama Bar,DJ Dustin,2019-08-23T08:00:00Z,2019-08-23T16:00:00Z
2915,Panorama Bar,Elli,2019-08-23T23:59:00Z,2019-08-23T03:00:00Z
2915,Berghain,JakoJako,2019-08-23T02:30:00Z,2019-08-23T03:15:00Z
2915,Berghain,Gábor Lázár,2019-08-23T03:15:00Z,2019-08-23T04:30:00Z
2915,Berghain,Marie Davidson,2019-08-23T04:30:00Z,2019-08-23T05:30:00Z
2915,Berghain,Ben UFO,2019-08-23T05:30:00Z,2019-08-23T07:30:00Z
2915,Berghain,Barker,2019-08-23T07:30:00Z,2019-08-23T15:30:00Z
2915,Berghain,Golden Medusa,2019-08-23T23:59:00Z,2019-08-23T02:30:00Z
2916,Kantine am Berghain,Andy Aquarius,2019-09-29T20:00:00Z,2019-09-29T20:30:00Z
2916,Kantine am Berghain,Marissa Nadler,2019-09-29T21:00:00Z,2019-09-30T05:00:00Z
2917,Kantine am Berghain,Black Palms,2019-08-24T20:30:00Z,2019-08-24T21:15:00Z
2917,Kantine am Berghain,The Flavians,2019-08-24T21:30:00Z,2019-08-24T22:30:00Z
2917,Kantine am Berghain,Violet Fields,2019-08-24T22:45:00Z,2019-08-25T06:45:00Z
2918,Kantine am Berghain,Rolando Bruno Y El Grupo Arevalo,2019-08-13T21:00:00Z,2019-08-14T05:00:00Z
2919,Kantine am Berghain,The Ghost Of Helgas,2019-08-03T20:30:00Z,2019-08-03T21:00:00Z
2919,Kantine am Berghain,Phum Viphurit,2019-08-03T21:15:00Z,2019-08-04T05:15:00Z
2920,Kantine am Berghain,Native Young,2019-08-14T21:30:00Z,2019-08-15T05:30:00Z
2921,Kantine am Berghain,Les Grethers / Doctorella,2019-08-16T20:45:00Z,2019-08-16T21:15:00Z
2921,Kantine am Berghain,Ferda Ataman,2019-08-16T21:15:00Z,2019-08-16T21:45:00Z
2921,Kantine am Berghain,Moon Gear,2019-08-16T21:45:00Z,2019-08-16T22:15:00Z
2921,Kantine am Berghain,Elke Brauweiler,2019-08-16T22:15:00Z,2019-08-16T23:00:00Z
2921,Kantine am Berghain,Tellavision,2019-08-16T23:00:00Z,2019-08-17T07:00:00Z
2923,Kantine am Berghain,Withdrawn & Birthmark,2019-09-11T20:00:00Z,2019-09-11T20:40:00Z
